"시설id","등록일시","수정일시","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","행정동 코드","행정동명","x좌표값","y좌표값","우편번호","기본주소","상세주소","운영시작일","연락처","사용료무료여부","운영일","휴관일","이용정원(기관)","이용정원(개인)","신청가능연령","자치구코드배열"
"DM250103","2025-01-16 09:40:06.0","2026-06-27 16:31:24.0","서울형 키즈카페 동대문구 답십리1동점","1011","서울형키즈카페","11230","동대문구","3050049","답십리1동","127.05374293804412","37.57115330402667","02598","서울특별시 동대문구 답십리로 130","309동 커뮤니티센터 내 (답십리동, 래미안위브)","2025-01-31","02-6404-5784","N","화요일~일요일","월요일, 명절 및 공휴일, 근로자의 날","","","1세 ~ 5세","11230"
"DM250102","2025-01-03 11:18:59.0","2026-04-30 17:37:24.0","서울형 키즈카페 동대문구 회기동점","1011","서울형키즈카페","11230","동대문구","3050060","회기동","127.05226","37.591","02459","서울특별시 동대문구 회기로18길 8","(1층) (회기동)","2025-01-24","02-964-0691","N","월요일~토요일","매주 일요일, 법정 공휴일  (어린이날 정상 운영 )","","","1세 ~ 6세","11230"
"SM250102","2025-01-03 10:13:32.0","2026-06-26 15:17:16.0","서울형 키즈카페 서대문구 천연동점","1011","서울형키즈카페","11410","서대문구","3120040","천연동","126.95898","37.5658","03746","서울특별시 서대문구 독립문로8길 107","2층 (천연동)","2025-02-07","02-393-1011","N","월~토(일요일은 휴관)","공휴일, 근로자의 날, 선거일, 임시 공휴일(어린이 날은 정상 운영)","","","3세 ~ 7세","11410"
"SM250101","2025-01-03 09:32:37.0","2026-06-30 11:03:27.0","서울형 키즈카페 서대문구 홍제3동점(키즈땅놀이터)","1011","서울형키즈카페","11410","서대문구","3120052","홍제3동","126.94968","37.59644","03618","서울특별시 서대문구 세검정로 104","문화촌제일교회 1층 (홍제3동)","2025-02-14","02-394-7323","N","월요일~토요일","일요일, 공휴일, 선거일, 임시 공휴일","","","2세 ~ 7세","11410"
"GA241203","2024-12-30 17:25:25.0","2026-05-12 15:32:57.0","서울형 키즈카페 관악구 보라매동점","1011","서울형키즈카페","11620","관악구","3200150","보라매동","126.93546","37.48673","08719","서울특별시 관악구 봉천로23길 6","3층 (봉천동)","2025-01-02","02-877-2834","N","화~일","월, 공휴일, 근로자의날","","","0세 ~ 6세","11620"
"GS241201","2024-12-30 15:32:33.0","2026-01-17 10:38:33.0","서울형 키즈카페 강서구 화곡4동점","1011","서울형키즈카페","11500","강서구","3150050","화곡4동","126.85768","37.53489","07739","서울특별시 강서구 곰달래로53길 80","대평교회 건물 2층 (화곡동)","2024-12-31","070-7775-0900","N","월요일~토요일","일요일, 명절, 공휴일, 근로자의 날, 정부에서 지정한 휴일","","","3세 ~ 6세",""
"YS241201","2024-12-29 15:21:42.0","2026-06-29 13:08:42.0","서울형 키즈카페 용산구 후암동점(후암 초록숲 키즈카페)","1011","서울형키즈카페","11170","용산구","3020039","후암동","126.9772","37.54798","04332","서울특별시 용산구 후암로13길 8","후암교회 1층 (후암동)","2025-01-13","02-6263-3322","N","월 ~ 토","일요일, 국가공휴일, 대체공휴일, 근로자의 날","","","0세 ~ 3세","11170"
"GA241201","2024-12-27 09:42:41.0","2026-06-30 09:28:32.0","서울형 키즈카페 관악구 난향동점","1011","서울형키즈카페","11620","관악구","3200163","난향동","126.91815","37.464","08859","서울특별시 관악구 난곡로9길 29-2","난향경로당 3층 (신림동)","2025-08-28","02-867-2856","N","화~일","월요일, 법정공휴일, 근로자의날","","","0세 ~ 6세","11620"
"DJ241204","2024-12-13 14:44:01.0","2026-05-22 13:10:56.0","서울형 키즈카페 동작구 상도1동2호점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190041","상도1동","126.94993","37.50541","06919","서울특별시 동작구 매봉로 1","김영삼도서관 1층 (상도1동)","2025-01-24","070-7163-1478","N","화~일","월","","","0세 ~ 6세","11590"
"DJ241203","2024-12-13 14:16:01.0","2026-06-29 13:52:32.0","서울형 키즈카페 동작구 사당3동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190053","사당3동","126.96856","37.49279","06989","서울특별시 동작구 사당로23길 254","별관 지하 1층 (사당동)","2024-12-26","070-7163-1463","N","월~토"," 일, 공휴일, 대체공휴일 및 근로자의날 (단, 어린이날은 운영)","","","0세 ~ 6세","11590"
"DJ241202","2024-12-13 14:08:44.0","2026-06-15 10:06:10.0","서울형 키즈카페 동작구 상도2동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190042","상도2동","126.94606679845513","37.501466682334815","07032","서울특별시 동작구 양녕로 220","상가동 B1 (상도동, 상도역 롯데캐슬 파크엘)","2024-12-24","070-7163-1466","N","화~일","월, 법정공휴일, 대체공휴일 및 근로자의날 (단, 어린이날은 운영)","","","0세 ~ 6세","11590"
"DJ241201","2024-12-13 14:06:25.0","2026-04-21 09:47:57.0","서울형 키즈카페 동작구 상도1동 1호점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190041","상도1동","126.95348","37.50424","06969","서울특별시 동작구 상도로47아길 44-1","1층 (상도동)","2024-12-30","070-7163-1464","N","월~금","토,일,공휴일","","","0세 ~ 6세","11590"
"DB241103","2024-11-29 18:19:33.0","2026-04-15 14:04:31.0","서울형 키즈카페 도봉구 쌍문2동점(쌍문별 탐험대)","1011","서울형키즈카페","11320","도봉구","3090048","쌍문2동","127.03349","37.65135","01440","서울특별시 도봉구 노해로 227","(쌍문동)","2025-01-21","02-6205-6729","N","화~일요일 ","매주 월요일 휴관, 법정공휴일 휴관(근로자의 날 휴관/ 어린이날 정상운영) ","","","2세 ~ 8세","11320"
"DB241102","2024-11-29 18:11:24.0","2026-04-29 17:04:43.0","서울형 키즈카페 도봉구 도봉2동2호점(HOLA(올라) PLAY GROUND)","1011","서울형키즈카페","11320","도봉구","3090046","도봉2동","127.04793","37.68316","01319","서울특별시 도봉구 도봉로180나길 19","1층, (도봉동, 힐스테이트 도봉역 웰가)","2024-12-31","02-6952-6723","N","화~일요일 ","월요일, 법정공휴일 ","","","3세 ~ 8세","11320"
"GS241101","2024-11-19 13:26:42.0","2026-06-18 10:15:50.0","서울형 키즈카페 시립 화곡점","1011","서울형키즈카페","11500","강서구","3150114","우장산동","126.83855","37.54534","07697","서울특별시 강서구 화곡로31나길 35","1층 서울형 키즈카페 시립 화곡점","2025-08-05","02-2606-0877","N","월~토","일요일, 근로자의 날, 공휴일","","","4세 ~ 12세","11500"
"DB241101","2024-11-19 10:21:46.0","2026-05-14 16:57:59.0","서울형 키즈카페 도봉구 창3동점(우당탕탕 숲속대탐험)","1011","서울형키즈카페","11320","도봉구","3090042","창3동","127.04106","37.63354","01482","서울특별시 도봉구 우이천로4길 24-5","육아종합지원센터(창동), 1층 (창동)","2024-12-31","02-998-0708","N","화요일 ~ 일요일 ","월요일, 법정공휴일 ","","","0세 ~ 6세","11320"
"SM241101","2024-11-04 15:26:52.0","2026-06-16 17:52:50.0","서울형 키즈카페 서대문구 남가좌1동점","1011","서울형키즈카페","11410","서대문구","3120057","남가좌1동","126.91992","37.57303","03711","서울특별시 서대문구 모래내로15길 31","서대문구육아종합지원센터 2층 (남가좌동)","2024-11-29","02-3217-6551","N","월~토요일","일요일, 대체공휴일, 국가공휴일, 근로자의 날","","","1세 ~ 3세","11410"
"DJ241008","2024-10-31 13:41:50.0","2026-06-10 16:14:26.0","서울형 키즈카페 동작구 신대방1동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190057","신대방1동","126.9084","37.48881","07069","서울특별시 동작구 신대방11길 24","1층 (신대방동)","2024-11-05","02-849-9760","N","화~토","월","","","0세 ~ 6세","11590"
"DJ241006","2024-10-22 11:32:54.0","2026-05-27 15:08:50.0","서울형 키즈카페 동작구 흑석동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190113","흑석동","126.96061","37.50512","06973","서울특별시 동작구 서달로 129","까망돌도서관 1층 (흑석동)","2024-11-01","070-7163-1468","N","화~일","월요일, 법정공휴일, 대체공휴일 및 근로자의날 ","","","0세 ~ 6세","11590"
"DJ241004","2024-10-22 11:27:33.0","2026-05-07 14:02:03.0","서울형 키즈카페 동작구 상도4동 2호점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190044","상도4동","126.93732","37.49762","07046","서울특별시 동작구 성대로16길 21","(상도동) 연꽃어린이집 건물 내 3층","2024-11-05","070-7163-1465","N","화~토","월, 공휴일, 대체공휴일 및 근로자의날 (단, 어린이날은 운영)","","","0세 ~ 6세","11590"
"GJ241001","2024-10-14 11:15:23.0","2026-06-23 19:28:37.0","서울형키즈카페 시립 팔각당점","1011","서울형키즈카페","11215","광진구","3040046","능동","127.08247063367558","37.54985731539124","04991","서울특별시 광진구 능동로 216"," (능동)","2024-10-15","02-458-5583","N","화~일","매주 월요일 휴무","","","1세 ~ 7세","11215"
"GR241001","2024-10-10 16:29:39.0","2026-04-18 14:20:48.0","서울형 키즈카페 구로구 개봉1동점","1011","서울형키즈카페","11530","구로구","3160053","개봉1동","126.85591","37.49677","08274","서울특별시 구로구 경인로 318-15","2층 (개봉동)","2024-10-29","02-2060-9909","N","화~일","월","","","3세 ~ 5세","11530"
"YF241001","2024-10-08 15:05:50.0","2026-04-15 17:42:55.0","서울형 키즈카페 영등포구 신길4동점","1011","서울형키즈카페","11560","영등포구","3180057","신길4동","126.91166","37.50715","07362","서울특별시 영등포구 신길로40길 5","육아종합지원센터 3층 (신길동)","2024-11-01","02-833-6077","N","화요일~일요일","월요일, 근로자의 날, 법정공휴일","","","0세 ~ 6세","11560"
"GJ240903","2024-09-30 11:18:59.0","2026-06-11 10:20:23.0","서울형 키즈카페 자양4동 2호점(꾸미팡팡 놀이터)","1011","서울형키즈카페","11215","광진구","3040123","자양제4동","127.06964","37.53916","05073","서울특별시 광진구 능동로 87","3층 (자양동)","2024-10-22","02-6462-1239","N","화요일~일요일","월요일, 법정공휴일, 대체휴무일, 근로자의 날, 기타 정비일(소독) 등 ","","","1세 ~ 6세","11215"
"GJ240902","2024-09-30 11:18:02.0","2026-06-17 11:03:09.0","서울형 키즈카페 자양4동 1호점(꾸미팡팡 놀이터)","1011","서울형키즈카페","11215","광진구","3040123","자양제4동","127.06964","37.53916","05073","서울특별시 광진구 능동로 87","3층 (자양동)","2024-10-22","02-6462-1235","N","화요일~일요일","월요일, 법정공휴일, 대체휴무일, 근로자의 날, 기타 정비일(소독) 등","","","1세 ~ 6세","11215"
"GN240902","2024-09-23 15:36:56.0","2026-03-27 14:08:45.0","서울형 키즈카페 강남구 역삼1동점","1011","서울형키즈카페","11680","강남구","3220053","역삼1동","127.03887","37.50777","06135","서울특별시 강남구 언주로107길 4","2층 (역삼동) 2층 서울형 키즈카페","2024-10-02","02-508-1700","N","화~일","월요일 및 법정공휴일, 근로자의 날","","","0세 ~ 6세","11680"
"SB240903","2024-09-20 16:09:16.0","2026-05-19 17:22:17.0","서울형 키즈카페 성북구 정릉3동점","1011","서울형키즈카페","11290","성북구","3070053","정릉3동","127.00574","37.61281","02705","서울특별시 성북구 솔샘로17길 8","정릉 벧엘교회1층 입구 (정릉동)","2024-10-15","02-909-6482","N","월~토","일요일, 법정 공휴일, 근로자의 날","","","2세 ~ 7세","11290"
"KC240902","2024-09-15 12:52:45.0","2026-01-22 18:24:28.0","서울형 키즈카페 금천구 시흥1동 나래랑키즈랑점","1011","서울형키즈카페","11545","금천구","3170049","시흥1동","126.90013","37.4487","08636","서울특별시 금천구 시흥대로45길 34","금천양문교회 커뮤니티센터 2층 (시흥동)","2024-09-30","02-803-0272","N","월요일~토요일","매주 일요일, 법정 공휴일, 근로자의날","","","0세 ~ 6세",""
"KC240901","2024-09-14 12:41:38.0","2026-05-10 14:17:44.0","서울형 키즈카페 금천구 아이세상놀이터점","1011","서울형키즈카페","11545","금천구","3170043","독산1동","126.89560867672988","37.46869845647264","08584","서울특별시 금천구 두산로 70","A타워 1층 103호(독산동,현대지식산업센터) (독산동)","2024-09-29","02-2169-2067","N","화요일~일요일","매주 월요일, 법정공휴일(어린이날 제외), 근로자의날","","","0세 ~ 6세","11545"
"SB240902","2024-09-05 16:01:31.0","2026-06-27 14:28:24.0","서울형 키즈카페 성북구 성북동점","1011","서울형키즈카페","11290","성북구","3070141","성북동","127.00626439714317","37.59004509678734","02834","서울특별시 성북구 성북로4길 21","2층 서울형키즈카페 성북동점 (동소문동1가)","2024-11-25","02-744-0819","N","월~토","매주 일, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일","","","4세 ~ 8세","11290"
"GS240802","2024-08-28 09:13:55.0","2026-05-06 13:52:02.0","서울형 키즈카페 강서구 화곡3동점","1011","서울형키즈카페","11500","강서구","3150049","화곡3동","126.83597","37.54626","07705","서울특별시 강서구 강서로 231","2층 (화곡동, 우장산역 해링턴 타워)","2024-09-02","02-2698-2299","N","화요일~일요일","월요일, 명절, 공휴일, 근로자의 날, 정부에서 지정한 휴일","","","3세 ~ 6세","11500"
"SC240801","2024-08-24 15:59:33.0","2026-06-05 15:10:53.0","서울형 키즈카페 서초구 서초1동점(서리풀노리학교 서초1동점)","1011","서울형키즈카페","11650","서초구","3210040","서초1동","127.02236","37.49117","06636","서울특별시 서초구 사임당로 115","헤센파크힐 L층","2024-09-10","02-525-9340","N","화~일","월요일, 근로자의 날, 법정공휴일","","","0세 ~ 6세","11650"
"SB240801","2024-08-12 17:00:10.0","2026-06-04 17:37:27.0","서울형 키즈카페 성북구 종암동점","1011","서울형키즈카페","11290","성북구","3070144","종암동","127.03148950474413","37.59821345949919","02804","서울특별시 성북구 종암로19길 60","성북함께어울림센터, 2층 (종암동)","2024-08-16","02-2241-0796","N","화~일","월, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일","","","0세 ~ 3세","11290"
"SB240702","2024-07-31 10:47:42.0","2026-06-04 16:57:45.0","서울형 키즈카페 성북구 정릉2동점","1011","서울형키즈카페","11290","성북구","3070052","정릉2동","127.00544","37.59816","02821","서울특별시 성북구 북악산로1길 64","508커뮤니티센터, 1층 (정릉동)","2024-08-02","02-2241-0793","N","화~일","월, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일","","","2세 ~ 4세","11290"
"NW240701","2024-07-12 16:38:32.0","2026-03-16 14:34:04.0","서울형 키즈카페 노원구 중평공원점","1011","서울형키즈카페","11350","노원구","3100048","하계2동","127.06331499659012","37.63716460916218","01776","서울특별시 노원구 동일로203길 73","중평공원 내 (하계동)","2024-07-23","02-973-1955","N","화~일","월, 공휴일, 근로자의 날","","","4세 ~ 8세","11350"
"DJ240701","2024-07-11 15:30:14.0","2026-05-07 13:39:46.0","서울형 키즈카페 동작구 상도4동 1호점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190044","상도4동","126.94037","37.49926","07047","서울특별시 동작구 성대로 180","상도어울마당 2층 (상도동)","2024-08-12","070-7163-1477","N","월~토요일","일, 공휴일","","","0세 ~ 6세","11590"
"SD240701","2024-07-11 11:06:14.0","2026-05-13 16:24:38.0","서울형 키즈카페 성동구 성수1가1동점(성수 키즈카페)","1011","서울형키즈카페","11200","성동구","3030054","성수1가1동","127.04969","37.54204","04780","서울특별시 성동구 뚝섬로3길 18","성수1가1동주민센터 1층 (성수동1가)","2024-07-29","02-461-3863","N","월요일~토요일","일요일, 법정공휴일, 근로자의 날","","","0세 ~ 6세","11200"
"SM240501","2024-05-21 14:47:10.0","2026-05-26 17:41:10.0","서울형 키즈카페 서대문구 북가좌1동점(다정다감 키즈카페)","1011","서울형키즈카페","11410","서대문구","3120059","북가좌1동","126.90753","37.57628","03714","서울특별시 서대문구 수색로8길 48-4","사회교육관 3층 (북가좌동)","2024-08-05","02-304-5501","N","월~토","일요일, 대체공휴일, 국가공휴일, 근로자의 날 ","","","4세 ~ 8세","11410"
"JR240501","2024-05-16 17:45:00.0","2026-06-13 17:07:50.0","서울형 키즈카페 중랑구 망우본동점(중랑실내놀이터 양원)","1011","서울형키즈카페","11260","중랑구","3060125","망우본동","127.10249","37.61197","02057","서울특별시 중랑구 용마산로 670","시티원스퀘어 상가 201동 지하1층 (망우동, 신내역 프라디움 더 테라스)","2024-05-31","02-438-4600","N","화~일요일","월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정","","","2세 ~ 8세","11260"
"SP240401","2024-04-16 10:54:56.0","2026-04-30 13:51:13.0","서울형 키즈카페 송파구 잠실근린공원점(하하호호놀이터 송파구1호점)","1011","서울형키즈카페","11710","송파구","3230059","잠실본동","127.08434","37.50614","05568","서울특별시 송파구 백제고분로15길 9",", 1?2층 (잠실동)","2024-05-31","070-4151-7061","N","화~일","월요일, 명절 및 법정공휴일, 근로자의 날","","","4세 ~ 9세","11710"
"GJ240401","2024-04-11 16:59:27.0","2026-04-29 13:50:51.0","서울형 키즈카페 시립 뚝섬자벌레점","1011","서울형키즈카페","11215","광진구","3040123","자양제4동","127.06541","37.53016","05089","서울특별시 광진구 강변북로 2202","2층 꿈틀나루 (자양동)","2024-05-17","02-498-4445","N","화~일","월요일, 법정공휴일, 대체휴무일, 근로자의 날","","","0세 ~ 6세","11215"
"SC240404","2024-04-05 16:09:38.0","2026-06-07 09:33:16.0","서울형 키즈카페 서초구 방배2동점(서리풀노리학교 방배2동점)","1011","서울형키즈카페","11650","서초구","3210052","방배2동","126.98379","37.48455","06675","서울특별시 서초구 방배천로24길 8","방주교회 1층 (방배동)","2024-04-14","02-523-9340","N","화~일","월요일, 근로자의 날, 법정공휴일","","","0세 ~ 6세","11650"
"JG240301","2024-03-05 13:11:49.0","2026-06-16 17:03:08.0","서울형 키즈카페 중구 중림동점(노리몽땅)","1011","서울형키즈카페","11140","중구","3010056","중림동","126.96625","37.55952","04506","서울특별시 중구 서소문로6길 16","본관 1층 (중림동)","2024-04-25","02-363-2628","N","화~일","월","","","0세 ~ 6세","11140"
"SB240201","2024-02-23 17:00:33.0","2026-04-15 16:45:43.0","서울형 키즈카페 성북구 벌집어린이공원점","1011","서울형키즈카페","11290","성북구","3070144","종암동","127.03692497748662","37.599613685694365","02797","서울특별시 성북구 월곡로7길 56-7","서울형 키즈카페 성북구 벌집어린이공원점 (종암동)","2024-02-29","02-2241-0790","N","화~일","월, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일","","","3세 ~ 7세","11290"
"GA240101","2024-01-31 15:38:11.0","2026-05-13 14:04:57.0","서울형 키즈카페 관악구 난곡동점","1011","서울형키즈카페","11620","관악구","3200169","난곡동","126.92355","37.46941","08856","서울특별시 관악구 난곡로24가길 53","2층 (신림동)","2024-03-05","02-867-2846","N","화~일","월요일. 공휴일, 근로자의날","","","0세 ~ 6세","11620"
"GD240101","2024-01-18 11:17:45.0","2026-01-07 13:41:38.0","서울형 키즈카페 강동구 성내1동점(아이?맘 강동)","1011","서울형키즈카페","11740","강동구","3240053","성내1동","127.12248","37.52917","05398","서울특별시 강동구 성내로6길 16","2층 (성내동)","2024-02-02","02-3425-9398","N","화~일","월요일, 명절 및 공휴일","","","0세 ~ 6세",""
"DB231202","2023-12-21 18:25:02.0","2026-04-15 13:58:20.0","서울형 키즈카페 도봉구 창1동점(숲속유람선 뚜뚜)","1011","서울형키즈카페","11320","도봉구","3090040","창1동","127.04554","37.64882","01425","서울특별시 도봉구 해등로4길 38","초안산생태공원 내 위치 (창동)","2024-01-16","02-994-7456","N","화~일","월요일, 공휴일 ","","","0세 ~ 4세","11320"
"DB231201","2023-12-21 18:14:15.0","2026-04-29 17:01:26.0","서울형 키즈카페 도봉구 방학1동점1호점(오르봉내리봉)","1011","서울형키즈카페","11320","도봉구","3090051","방학1동","127.04717214853598","37.668775119931716","01331","서울특별시 도봉구 마들로 656","도봉구청사, 지하1층 (방학동)","2024-01-21","070-4190-8922","N","화~일","월요일, 공휴일 (근로자의 날 포함)","","","2세 ~ 7세","11320"
"GD231201","2023-12-08 16:39:27.0","2026-01-07 14:13:15.0","서울형 키즈카페 강동구 상일2동점(아이?맘 강동)","1011","서울형키즈카페","11740","강동구","3240040","상일동","127.17236","37.55678","05285","서울특별시 강동구 상일로12길 95","푸르내상가 102-303 (상일동, 푸르내)","2024-01-22","02-3425-7076","N","화~일","월요일, 명절 및 공휴일","","","0세 ~ 6세",""
"YC231206","2023-12-07 08:33:02.0","2026-05-31 17:20:12.0","서울형 키즈카페 양천구 오목공원점","1011","서울형키즈카페","11470","양천구","3140039","목1동","126.87365","37.52757","07996","서울특별시 양천구 목동서로 159-4","서울형 키즈카페 양천구 오목공원점 (목동)","2024-02-13","070-7700-9294","N","화~일요일","월요일, 공휴일, 근로자의 날","","","4세 ~ 9세","11470"
"SC231201","2023-12-01 13:42:50.0","2026-06-05 13:33:40.0","서울형 키즈카페 서초구 양재1동점(서리풀노리학교 양재1동점)","1011","서울형키즈카페","11650","서초구","3210055","양재1동","127.04142013143459","37.47864051190921","06747","서울특별시 서초구 양재천로 125-10","양재공영주차빌딩 2층 (양재동)","2024-01-26","02-575-9340","N","화~일","월요일, 근로자의 날, 법정공휴일","","","0세 ~ 6세","11650"
"YC231201","2023-12-01 10:57:52.0","2026-05-19 09:16:17.0","서울형 키즈카페 시립 목동점","1011","서울형키즈카페","11470","양천구","3140043","목5동","126.88370466507241","37.54219410532292","07978","서울특별시 양천구 안양천로 1131","지식산업센터 2층 (목동)","2024-01-15","02-2647-7507","N","월~토","일요일, 법정공휴일, 대체공휴일, 근로자의 날","","","3세 ~ 12세","11470"
"SC231001","2023-10-18 14:09:56.0","2026-06-05 13:27:41.0","서울형 키즈카페 서초구 문화예술공원점(서리풀노리학교 문화예술공원점)","1011","서울형키즈카페","11650","서초구","3210055","양재1동","127.03241553845741","37.469507699827005","06769","서울특별시 서초구 바우뫼로12길 40"," (양재동)","2023-12-19","02-577-9340","N","화~일","월요일, 노동절, 법정공휴일 ","","","4세 ~ 6세","11650"
"YS231001","2023-10-11 15:14:09.0","2026-07-01 13:32:39.0","서울형키즈카페 용산구한강로동점(용산도담도담실내놀이터)","1011","서울형키즈카페","11170","용산구","3020107","한강로동","126.96661","37.52682","04387","서울특별시 용산구 서빙고로 17","센트럴파크타워, 2층 (한강로3가)","2023-12-01","02-6367-3121","N","화요일~일요일","월, 공휴일(어린이날 제외) 및 근로자의 날","","","5세 ~ 9세","11170"
"YF231001","2023-10-11 13:45:08.0","2026-06-13 11:42:43.0","서울형 키즈카페 영등포구 대림2동점","1011","서울형키즈카페","11560","영등포구","3180062","대림2동","126.90537978229072","37.48820385495539","07444","서울특별시 영등포구 시흥대로 625","상가 2층 (대림동, 영등포자이르네)","2023-11-16","02-833-6077","N","화 ~ 일","월요일, 근로자의 날, 법정공휴일","","","0세 ~ 6세","11560"
"DJ230901","2023-09-27 17:34:09.0","2026-05-10 16:53:34.0","서울형 키즈카페 시립 1호점","1011","서울형키즈카페","11590","동작구","3190056","대방동","126.92731","37.51245","06938","서울특별시 동작구 노량진로 10","서울가족플라자 지하2층 (대방동)","2023-10-28","02-824-0614","N","화~일","월, 명절 및 공휴일, 근로자의 날","","","4세 ~ 10세","11590"
"GS230801","2023-08-11 18:24:47.0","2026-05-14 11:38:34.0","서울형 키즈카페 강서구 발산1동점","1011","서울형키즈카페","11500","강서구","3150059","발산1동","126.826237282211","37.54950072911461","07641","서울특별시 강서구 수명로2길 50"," (내발산동) 2층 서울형 키즈카페","2023-10-17","02-2064-2731","N","화요일~일요일","월요일,명절, 공휴일, 근로자의 날, 정부에서 지정한 휴일","","","2세 ~ 6세","11500"
"MP230802","2023-08-07 14:48:27.0","2026-04-28 14:00:51.0","서울형 키즈카페 마포구 상암점","1011","서울형키즈카페","11440","마포구","3130062","상암동","126.88362","37.58052","03905","서울특별시 마포구 상암산로1길 71","마포구육아종합지원센터 2~3층 서울형 키즈카페 마포구 상암점 (상암동)","2023-09-01","070-4948-1276","N","화~일","월요일, 명절 및 공휴일, 근로자의날","","","1세 ~ 6세","11440"
"DJ230701","2023-07-12 17:05:37.0","2026-06-11 11:16:28.0","서울형 키즈카페 동작구 대방동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190056","대방동","126.92299","37.50462","06945","서울특별시 동작구 여의대방로36길 11","4층 (대방동)","2023-08-05","02-823-4587","N","화~일","월요일, 명절 및 공휴일, 근로자의 날","","","0세 ~ 6세","11590"
"GB230601","2023-06-08 15:59:54.0","2026-06-09 09:51:40.0","서울형 키즈카페 강북구 번3동점(강북구 'PLAY ON')","1011","서울형키즈카페","11305","강북구","3080051","번3동","127.0427606251043","37.62928861053399","01224","서울특별시 강북구 오현로 208","번동주공아파트 309동, 1층 (주민복지관 1, 어린이실내놀이터)","2023-08-01","02-988-0271","N","월요일 ~ 토요일","일요일, 명절 및 법정공휴일, 근로자의 날","","","4세 ~ 8세","11305"
"GJ230202","2023-02-28 10:18:05.0","2026-05-18 15:33:35.0","서울형 키즈카페 광진구 중곡3동점(꾸미팡팡 놀이터)","1011","서울형키즈카페","11215","광진구","3040044","중곡3동","127.08457341402034","37.565429205930194","04933","서울특별시 광진구 능동로 400","보건복지행정타운 별관 3층(중곡동)","2023-04-01","02-467-1827","N","화요일~일요일 09:00~18:00 ","월요일, 법정공휴일, 대체휴무일, 근로자의 날","","","1세 ~ 6세","11215"
"GD230202","2023-02-22 17:00:08.0","2026-04-06 09:18:42.0","서울형 키즈카페 강동구 암사1동점(아이?맘 강동)","1011","서울형키즈카페","11740","강동구","3240045","암사1동","127.12903","37.55141","05263","서울특별시 강동구 올림픽로98길 15",",3층 (암사동)","2023-03-28","02-3425-9489","N","월~토","일요일, 명절 및 공휴일","","","0세 ~ 6세","11740"
"GD230201","2023-02-15 11:11:46.0","2026-01-07 13:43:14.0","서울형 키즈카페 강동구 고덕2동점(아이?맘 강동)","1011","서울형키즈카페","11740","강동구","3240044","고덕2동","127.16472465477375","37.55767931626118","05224","서울특별시 강동구 고덕로 353","일반상가 2층","2023-03-28","02-3425-9435","N","화~일","월요일, 명절 및 공휴일","","","0세 ~ 6세",""
"SD221201","2022-12-27 14:43:08.0","2026-05-23 10:40:42.0","서울형 키즈카페 성동구 금호2?3가동점(금호 키즈카페)","1011","서울형키즈카페","11200","성동구","3030120","금호2-3가동","127.02098","37.55322","04728","서울특별시 성동구 무수막18길 1","금호2,3가동주민센터 4층 (금호동2가)","2023-01-18","02-6952-6799","N","월요일 ~ 토요일","일요일, 법정공휴일, 근로자의 날","","","0세 ~ 6세","11200"
"DJ221102","2022-11-15 18:34:53.0","2026-04-14 09:50:02.0","서울형 키즈카페 동작구 상도3동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190043","상도3동","126.93237","37.50199","06951","서울특별시 동작구 상도로15가길 16","가온어린이집 3층 서울형키즈카페 (상도동)","2023-01-31","070-7163-1474","N","화~일","월요일, 근로자의날, 명절 및 공휴일","","","0세 ~ 6세","11590"
"YC221101","2022-11-09 14:50:18.0","2026-05-30 09:26:36.0","서울형 키즈카페 양천구 신정7동점","1011","서울형키즈카페","11470","양천구","3140058","신정7동","126.8703317295347","37.509838867841566","08102","서울특별시 양천구 목동남로 106-23"," (신정동)","2023-04-01","02-2135-5946","N","화~일","월, 법정공휴일, 근로자의 날","","","3세 ~ 6세","11470"
